quote,attributed,publication
Take a deep breath. Get present in the moment and ask yourself what is important this very second.,Greg McKeown,Essentialism
"Great entrepreneurs are never out of the game for long. They slip many times, but they don't fall.",Ryan Holiday,The Obstacle Is The Way
"With a business, we take most failures less personally and understand they’re part of the process.",Ryan Holiday,The Obstacle Is The Way
"Life is very short and anxious for those who forget the past, neglect the present, and fear the future.",Seneca,
virtue—arete—translates to something very simple and very timeless: Excellence. Moral. Physical. Mental.,,
"It takes a special kind of humility to grasp that you know less, even as you know and grasp more and more",Ryan Holiday,Ego Is The Enemy
Bad companies are destroyed by crisis. Good companies survive them. Great companies are improved by them.,Ryan Holiday,The Obstacle Is The Way
"You have passed through life without an opponent—no one can ever know what you are capable of, not even you.",Seneca,
"Whatever we face, we have a choice: Will we be blocked by obstacles, or will we advance through and over them?",Ryan Holiday,The Obstacle Is The Way
"Self-confidence becomes arrogance, assertiveness becomes obstinacy, and self-assurance becomes reckless abandon.",Bill Walsh,
"editing—which involves the strict elimination of the trivial, unimportant, or irrelevant—is an Essentialist craft",Greg McKeown,Essentialism
Ambition means tying your well-being to what other people say or do . . . Sanity means tying it to your own actions.,Marcus Aurelius,
What man actually needs is not a tensionless state but rather the striving and struggling for some goal worthy of him.,Viktor Frankl,
"Kill your darlings, kill your darlings, even when it breaks your egocentric little scribbler’s heart, kill your darlings.",Stephen King,
The first rule is to keep an untroubled spirit. The second is to look things in the face and know them for what they are.,Marcus Aurelius,
"A good editor is someone who uses deliberate subtraction to actually add life to the ideas, setting, plot, and characters.",Greg McKeown,Essentialism
"It never ceases to amaze me: we all love ourselves more than other people, but care more about their opinion than our own.",Marcus Aurelius,
"Like any good school, learning from failure isn’t free. The tuition is paid in discomfort or loss and having to start over.",Ryan Holiday,The Obstacle Is The Way
"That germ of an idea does not make a sculpture which stands up. It just sits there. So the next stage, of course, is the hard work.",Nina Holton,
"Do not act as if you were going to live ten thousand years. Death hangs over you. While you live, while it is in your power, be good.",Marcus Aurelius,
This is our big mistake: to think we look forward to death. Most of death is already gone. Whatever time has passed is owned by death.,Seneca,
This is our big mistake: to think we look forward to death. Most of death is already gone. Whatever time has passed is owned by death.,Seneca,
"They wear clothes that are comfortable, they interact only with people they find congenial, they do only things they think are important.",,
"Does what happened keep you from acting with justice, generosity, self-control, sanity, prudence, honesty, humility, straightforwardness?",Ryan Holiday,The Obstacle Is The Way
"In life, it doesn’t matter what happens to you or where you came from. It matters what you do with what happens and what you’ve been given.",Ryan Holiday,
"A person who thinks all the time has nothing to think about except thoughts, so he loses touch with reality and lives in a world of illusions.",Ryan Holiday,Ego Is The Enemy
"Don’t seek for everything to happen as you wish it would, but rather wish that everything happens as it actually will—then your life will flow well.",Epictetus,
It’s time you realized that you have something in you more powerful and miraculous than the things that affect you and make you dance like a puppet.,Marcus Aurelius,
"When I look up in the universe, I know I’m small, but I’m also big. I’m big because I’m connected to the universe and the universe is connected to me.",Neil deGrasse Tyson,
"Nothing, to my way of thinking, is a better proof of a well ordered mind than a man’s ability to stop just where he is and pass some time in his own company.",Seneca,
"No person has the power to have everything they want, but it is in their power not to want what they don’t have, and to cheerfully put to good use what they do have.",Seneca,
"From that place, we might think that success in the future is just the natural next part of the story—when really it’s rooted in work, creativity, persistence, and luck.",Ryan Holiday,Ego Is The Enemy
"You’ve wandered all over and finally realized that you never found what you were after: how to live. Not in syllogisms, not in money, or fame, or self-indulgence. Nowhere.",Marcus Aurelius,Meditations
People are frugal in guarding their personal property; but as soon as it comes to squandering tim ethey are most wasteful of the one thing in which it is right to be stingy.,Seneca,
"I judge you unfortunate because you have never lived through misfortune. You have passed through life without an opponent—no one can ever know what you are capable of, not even you.",Seneca,
"If anyone can refute me—show me I’m making a mistake or looking at things from the wrong perspective—I’ll gladly change. It’s the truth I’m after, and the truth never harmed anyone.",Marcus Aurelius,
"It is said of the Jews, deprived of a stable homeland for so long, their temples destroyed, and their communities in the Diaspora, that they were forced to rebuild not physically but within",Ryan Holiday,The Obstacle Is The Way
"In your actions, don’t procrastinate. In your conversations, don’t confuse. In your thoughts, don’t wander. In your soul, don’t be passive or aggressive. In your life, don’t be all about business.",Marcus Aurelius,
Stoicism teaches how to keep a calm and rational mind no matter what happens to you and it helps you understand and focus on what you can control and not worry about and accept what you can’t control.,Jonas Salzgeber,
"If anyone tells you that a certain person speaks ill of you, do not make excuses about what is said of you but answer, ‘He was ignorant of my other faults, else he would have not mentioned these alone.'",Epictetus,
"Plus, minus, equal: Each fighter, to become great,  needs to have someone better that they can learn from, someone lesser who they can teach, and someone equal that they can challenge themselves against.",Ryan Holiday,Ego Is The Enemy
"An amateur is defensive. The professional finds learning (and even, occasionally, being shown up) to be enjoyable; they like being challenged and humbled, and engage in education as an ongoing and endless process.",Ryan Holiday,Ego Is The Enemy
"Think of the life you have lived until now as over and, as a dead man, see what’s left as a bonus and live it according to Nature. Love the hand that fate deals you and play it as your own, for what could be more fitting?",Marcus Aurelius,
"That’s why the philosophers warn us not to be satisfied with mere learning, but to add practice and then training. For as time passes we forget what we learned and end up doing the opposite, and hold opinions the opposite of what we should.",Epictetus,
"Epictetus told his students, when they’d quote some great thinker, to picture themselves observing the person having sex. It’s funny, you should try it the next time someone intimidates you or makes you feel insecure. See them in your mind, grunting, groaning, and awkward in their private life—just like the rest of us.",Ryan Holiday,The Obstacle Is The Way
"The chief task in life is simply this: to identify and separate matters so that I can say clearly to myself which are externals not under my control, and which have to do with the choices I actually control. Where then do I look for good and evil? Not to uncontrollable externals, but within myself to the choices that are my own…",Epictetus,
Those who rush across the sea change their weather but not their minds.,Horace,Letters
"It's too bad, these days, that you don't know when you need a helmet when going out for a walk.",Socrates,
[Anger] only acts with the mind's approval.,Seneca,
Every  negative emotion is weak at first. But it rouses itself and increases its strength as it advances.,Seneca,
"testing impressions is the philosopher's single most important task, and no impression should be accepted unless it has been carefully tested.",Epictetus,
The greatest cure for anger is delay.,Seneca,
"Anger arises from a belief that you have been wronged, which one should not accept lightly, at face value.",Seneca,
Anyone enslaved to a passion is living under a tyrant.,Seneca,
"No school [Stoics] is more kindly and gentle, none more full of love for mankind and more concerned for the common good.",Seneca,
The problem with anger is that it refuses to be controlled.,Seneca,
"[On Anger] If you wish to view its harmful effects, no plague has cost the human race more.",Seneca,
